ORF,Name,Allele,Strain_ID,Plate,Row,Column
YBL102W,SFT2,,dma175,1,13,13
YAR035W,YAT1,,dma79,1,13,14
YBL101C,ECM21,,dma176,1,13,15
YAR031W,PRM9,,dma80,1,13,16
YBL100C,,,dma177,1,13,17
YAR030C,,,dma81,1,13,18
YBL098W,BNA4,,dma178,1,13,19
YAR029W,,,dma82,1,13,20
YBL096C,,,dma179,1,13,21
YAR028W,,,dma83,1,13,22
YBL095W,MRX3,,dma180,1,13,23
YOR202W,HIS3,,dma1,1,13,24
YOR202W,HIS3,,dma1,1,14,1
YBR121C,GRS1,,dma265,1,14,2
YBR223C,TDP1,,dma362,1,14,3
YBR119W,MUD1,,dma266,1,14,4
YBR222C,PCS60,,dma363,1,14,5
YBR116C,,,dma267,1,14,6
YBR221C,PDB1,,dma364,1,14,7
YBR115C,LYS2,,dma268,1,14,8
YBR220C,,,dma365,1,14,9
YBR114W,RAD16,,dma269,1,14,10
YBR219C,,,dma366,1,14,11
YBR113W,,,dma270,1,14,12
YBR218C,PYC2,,dma367,1,14,13
YBR111C,YSA1,,dma271,1,14,14
YBR217W,ATG12,,dma368,1,14,15
YBR108W,AIM3,,dma272,1,14,16
YBR216C,YBP1,,dma369,1,14,17
YBR107C,IML3,,dma273,1,14,18
YBR215W,HPC2,,dma370,1,14,19
YBR106W,PHO88,,dma274,1,14,20
YBR214W,SDS24,,dma371,1,14,21
YBR105C,VID24,,dma275,1,14,22
YBR213W,MET8,,dma372,1,14,23
YOR202W,HIS3,,dma1,1,14,24
YOR202W,HIS3,,dma1,1,15,1
YBL015W,ACH1,,dma85,1,15,2
YBR016W,,,dma182,1,15,3
YBL013W,FMT1,,dma86,1,15,4
YBR015C,MNN2,,dma183,1,15,5
YBL011W,SCT1,,dma87,1,15,6
YBR014C,GRX7,,dma184,1,15,7
YBL010C,,,dma88,1,15,8
YBR013C,,,dma185,1,15,9
YBL009W,ALK2,,dma89,1,15,10
YBR012C,,,dma186,1,15,11
YBL008W,HIR1,,dma90,1,15,12
YBR010W,HHT1,,dma187,1,15,13
YBL007C,SLA1,,dma91,1,15,14
YBR009C,HHF1,,dma188,1,15,15
YBL005W,PDR3,,dma92,1,15,16
YBR008C,FLR1,,dma189,1,15,17
YBL003C,HTA2,,dma93,1,15,18
YBR007C,DSF2,,dma190,1,15,19
YBL001C,ECM15,,dma94,1,15,20
YBR006W,UGA2,,dma191,1,15,21
YAR050W,FLO1,,dma95,1,15,22
YBR005W,RCR1,,dma192,1,15,23
YOR202W,HIS3,,dma1,1,15,24
YOR202W,HIS3,,dma1,1,16,1
YOR202W,HIS3,,dma1,1,16,2
YOR202W,HIS3,,dma1,1,16,3
YOR202W,HIS3,,dma1,1,16,4
YOR202W,HIS3,,dma1,1,16,5
YOR202W,HIS3,,dma1,1,16,6
YOR202W,HIS3,,dma1,1,16,7
YOR202W,HIS3,,dma1,1,16,8
YOR202W,HIS3,,dma1,1,16,9
YOR202W,HIS3,,dma1,1,16,10
YOR202W,HIS3,,dma1,1,16,11
YOR202W,HIS3,,dma1,1,16,12
YOR202W,HIS3,,dma1,1,16,13
YOR202W,HIS3,,dma1,1,16,14
YOR202W,HIS3,,dma1,1,16,15
YOR202W,HIS3,,dma1,1,16,16
YOR202W,HIS3,,dma1,1,16,17
YOR202W,HIS3,,dma1,1,16,18
YOR202W,HIS3,,dma1,1,16,19
YOR202W,HIS3,,dma1,1,16,20
YOR202W,HIS3,,dma1,1,16,21
YOR202W,HIS3,,dma1,1,16,22
YOR202W,HIS3,,dma1,1,16,23
YOR202W,HIS3,,dma1,1,16,24
YOR202W,HIS3,,dma1,2,1,1
YOR202W,HIS3,,dma1,2,1,2
YOR202W,HIS3,,dma1,2,1,3
YOR202W,HIS3,,dma1,2,1,4
YOR202W,HIS3,,dma1,2,1,5
YOR202W,HIS3,,dma1,2,1,6
YOR202W,HIS3,,dma1,2,1,7
YOR202W,HIS3,,dma1,2,1,8
YOR202W,HIS3,,dma1,2,1,9
YOR202W,HIS3,,dma1,2,1,10
YOR202W,HIS3,,dma1,2,1,11
YOR202W,HIS3,,dma1,2,1,12
YOR202W,HIS3,,dma1,2,1,13
YOR202W,HIS3,,dma1,2,1,14
YOR202W,HIS3,,dma1,2,1,15
YOR202W,HIS3,,dma1,2,1,16
YOR202W,HIS3,,dma1,2,1,17
YOR202W,HIS3,,dma1,2,1,18
YOR202W,HIS3,,dma1,2,1,19
YOR202W,HIS3,,dma1,2,1,20
YOR202W,HIS3,,dma1,2,1,21
YOR202W,HIS3,,dma1,2,1,22
YOR202W,HIS3,,dma1,2,1,23
YOR202W,HIS3,,dma1,2,1,24
YOR202W,HIS3,,dma1,2,2,1
YCR076C,FUB1,,dma577,2,2,2
YDL090C,RAM1,,dma674,2,2,3
YCR075C,ERS1,,dma578,2,2,4
YDL089W,NUR1,,dma675,2,2,5
YCR073W-A,SOL2,,dma579,2,2,6
YDL088C,ASM4,,dma676,2,2,7
YCR073C,SSK22,,dma580,2,2,8
YDL086W,,,dma677,2,2,9
YCR071C,IMG2,,dma581,2,2,10
YDL085W,NDE2,,dma678,2,2,11
YCR069W,CPR4,,dma582,2,2,12
YDL083C,RPS16B,,dma679,2,2,13
YCR068W,ATG15,,dma583,2,2,14
YDL082W,RPL13A,,dma680,2,2,15
YCR067C,SED4,,dma584,2,2,16
YDL081C,RPP1A,rpp1a-supp1,dma681,2,2,17
YCR065W,HCM1,,dma585,2,2,18
YDL080C,THI3,,dma682,2,2,19
YCR063W,BUD31,,dma586,2,2,20
YDL079C,MRK1,,dma683,2,2,21
YCR062W,,,dma587,2,2,22
YDL078C,MDH3,,dma684,2,2,23
YOR202W,HIS3,,dma1,2,2,24
YOR202W,HIS3,,dma1,2,3,1
YBR235W,VHC1,,dma397,2,3,2
YCL036W,GFD2,,dma494,2,3,3
YBR233W,PBP2,,dma398,2,3,4
YCL035C,GRX1,,dma495,2,3,5
YBR232C,,,dma399,2,3,6
YCL034W,LSB5,,dma496,2,3,7
YBR231C,SWC5,,dma400,2,3,8
YCL033C,MXR2,,dma497,2,3,9
YBR230C,OM14,,dma401,2,3,10
YCL032W,STE50,,dma498,2,3,11
YBR229C,ROT2,,dma402,2,3,12
YCL030C,HIS4,,dma499,2,3,13
YBR228W,SLX1,,dma403,2,3,14
YCL029C,BIK1,,dma500,2,3,15
YBR227C,MCX1,,dma404,2,3,16
YCL028W,RNQ1,,dma501,2,3,17
YBR226C,,,dma405,2,3,18
YCL027W,FUS1,,dma502,2,3,19
YBR225W,,,dma406,2,3,20
YCL026C-A,FRM2,,dma503,2,3,21
YBR224W,,,dma407,2,3,22
YCL026C,,,dma504,2,3,23
YOR202W,HIS3,,dma1,2,3,24
YOR202W,HIS3,,dma1,2,4,1
YCR089W,FIG2,,dma589,2,4,2
YDL110C,TMA17,,dma686,2,4,3
YCR088W,ABP1,,dma590,2,4,4
YDL109C,,,dma687,2,4,5
YCR087W,,,dma591,2,4,6
YDL106C,PHO2,,dma688,2,4,7
YCR087C-A,,,dma592,2,4,8
YDL104C,QRI7,,dma689,2,4,9
YCR086W,CSM1,,dma593,2,4,10
YDL100C,GET3,,dma690,2,4,11
YCR085W,,,dma594,2,4,12
YDL099W,BUG1,,dma691,2,4,13
YCR083W,TRX3,,dma595,2,4,14
YDL096C,OPI6,,dma692,2,4,15
YCR082W,AHC2,,dma596,2,4,16
YDL095W,PMT1,,dma693,2,4,17
YCR081W,SRB8,,dma597,2,4,18
YDL094C,,,dma694,2,4,19
YCR079W,PTC6,,dma598,2,4,20
YDL093W,PMT5,,dma695,2,4,21
YCR077C,PAT1,,dma599,2,4,22
YDL091C,UBX3,,dma696,2,4,23
YOR202W,HIS3,,dma1,2,4,24
YOR202W,HIS3,,dma1,2,5,1
YBR250W,SPO23,,dma409,2,5,2
YCL049C,,,dma506,2,5,3
YBR249C,ARO4,,dma410,2,5,4
YCL048W,SPS22,,dma507,2,5,5
YBR248C,HIS7,,dma411,2,5,6
YCL047C,POF1,,dma508,2,5,7
YBR246W,RRT2,,dma412,2,5,8
YCL046W,,,dma509,2,5,9
YBR245C,ISW1,,dma413,2,5,10
YCL045C,EMC1,,dma510,2,5,11
YBR244W,GPX2,,dma414,2,5,12
YCL044C,MGR1,,dma511,2,5,13
YBR242W,,,dma415,2,5,14
YCL042W,,,dma512,2,5,15
YBR241C,,,dma416,2,5,16
YCL040W,GLK1,,dma513,2,5,17
YBR240C,THI2,,dma417,2,5,18
YCL039W,GID7,,dma514,2,5,19
YBR239C,ERT1,,dma418,2,5,20
YCL038C,ATG22,,dma515,2,5,21
YBR238C,,,dma419,2,5,22
YCL037C,SRO9,,dma516,2,5,23
YOR202W,HIS3,,dma1,2,5,24
YOR202W,HIS3,,dma1,2,6,1
YCR105W,ADH7,,dma601,2,6,2
YDL125C,HNT1,,dma698,2,6,3
YCR102W-A,,,dma602,2,6,4
YDL124W,,,dma699,2,6,5
YCR102C,,,dma603,2,6,6
YDL123W,SNA4,,dma700,2,6,7
YCR101C,,,dma604,2,6,8
YDL122W,UBP1,,dma701,2,6,9
YCR100C,,,dma605,2,6,10
YDL121C,,,dma702,2,6,11
YCR099C,,,dma606,2,6,12
YDL119C,HEM25,,dma703,2,6,13
YCR098C,GIT1,,dma607,2,6,14
YDL118W,,,dma704,2,6,15
YCR095C,OCA4,,dma608,2,6,16
YDL117W,CYK3,,dma705,2,6,17
YCR092C,MSH3,,dma609,2,6,18
YDL114W,,,dma706,2,6,19
YCR091W,KIN82,,dma610,2,6,20
YDL113C,ATG20,,dma707,2,6,21
YCR090C,,,dma611,2,6,22
YDL112W,TRM3,,dma708,2,6,23
YOR202W,HIS3,,dma1,2,6,24
YOR202W,HIS3,,dma1,2,7,1
YBR269C,SDH8,,dma421,2,7,2
YCL069W,VBA3,,dma518,2,7,3
YBR267W,REI1,rei1-supp1,dma422,2,7,4
YCL064C,CHA1,,dma519,2,7,5
YBR266C,SLM6,slm6-supp1,dma423,2,7,6
YCL063W,VAC17,,dma520,2,7,7
YBR264C,YPT10,,dma424,2,7,8
YCL062W,,,dma521,2,7,9
YBR263W,SHM1,,dma425,2,7,10
YCL061C,MRC1,,dma522,2,7,11
YBR262C,MIC12,,dma426,2,7,12
YCL060C,,,dma523,2,7,13
YBR261C,TAE1,,dma427,2,7,14
YCL057W,PRD1,,dma524,2,7,15
YBR260C,RGD1,,dma428,2,7,16
YCL056C,PEX34,,dma525,2,7,17
YBR259W,,,dma429,2,7,18
YCL055W,KAR4,,dma526,2,7,19
YBR258C,SHG1,,dma430,2,7,20
YCL051W,LRE1,,dma527,2,7,21
YBR255W,MTC4,,dma431,2,7,22
YCL050C,APA1,,dma528,2,7,23
YOR202W,HIS3,,dma1,2,7,24
YOR202W,HIS3,,dma1,2,8,1
YDL020C,RPN4,,dma613,2,8,2
YDL135C,RDI1,,dma710,2,8,3
YDL019C,OSH2,,dma614,2,8,4
YDL133C-A,RPL41B,,dma711,2,8,5
YDL018C,ERP3,,dma615,2,8,6
YDL134C,PPH21,,dma712,2,8,7
YDL013W,SLX5,,dma616,2,8,8
YDL133W,SRF1,,dma713,2,8,9
YDL012C,,,dma617,2,8,10
YDL133C-A,RPL41B,,dma714,2,8,11
YDL011C,,,dma618,2,8,12
YDL131W,LYS21,,dma715,2,8,13
YDL010W,GRX6,,dma619,2,8,14
YDL130W-A,STF1,,dma716,2,8,15
YDL006W,PTC1,,dma620,2,8,16
YDL130W,RPP1B,,dma717,2,8,17
YDL002C,NHP10,,dma621,2,8,18
YDL129W,,,dma718,2,8,19
YDL001W,RMD1,,dma622,2,8,20
YDL128W,VCX1,,dma719,2,8,21
YCR106W,RDS1,,dma623,2,8,22
YDL127W,PCL2,,dma720,2,8,23
YOR202W,HIS3,,dma1,2,8,24
YOR202W,HIS3,,dma1,2,9,1
YBR281C,DUG2,,dma433,2,9,2
YCR011C,ADP1,,dma530,2,9,3
YBR280C,SAF1,,dma434,2,9,4
YCR010C,ADY2,,dma531,2,9,5
YBR278W,DPB3,,dma435,2,9,6
YCR009C,RVS161,,dma532,2,9,7
YBR277C,,,dma436,2,9,8
YCR008W,SAT4,,dma533,2,9,9
YBR276C,PPS1,,dma437,2,9,10
YCR007C,,,dma534,2,9,11
YBR275C,RIF1,,dma438,2,9,12
YCR006C,,,dma535,2,9,13
YBR274W,CHK1,,dma439,2,9,14
YCR005C,CIT2,,dma536,2,9,15
YBR273C,UBX7,,dma440,2,9,16
YCR001W,,,dma537,2,9,17
YBR272C,HSM3,,dma441,2,9,18
YCL076W,,,dma538,2,9,19
YBR271W,EFM2,,dma442,2,9,20
YCL075W,,,dma539,2,9,21
YBR270C,BIT2,,dma443,2,9,22
YCL074W,,,dma540,2,9,23
YOR202W,HIS3,,dma1,2,9,24
YOR202W,HIS3,,dma1,2,10,1
YDL038C,,,dma625,2,10,2
YDL157C,,,dma722,2,10,3
YDL037C,BSC1,,dma626,2,10,4
YDL156W,CMR1,,dma723,2,10,5
YDL036C,PUS9,,dma627,2,10,6
YDL155W,CLB3,,dma724,2,10,7
YDL035C,GPR1,,dma628,2,10,8
YDL154W,MSH5,,dma725,2,10,9
YDL034W,,,dma629,2,10,10
YDL149W,ATG9,,dma726,2,10,11
YDL033C,SLM3,,dma630,2,10,12
YDL146W,LDB17,,dma727,2,10,13
YDL027C,MRX9,,dma631,2,10,14
YDL144C,,,dma728,2,10,15
YDL026W,,,dma632,2,10,16
YDL142C,CRD1,,dma729,2,10,17
YDL025C,RTK1,,dma633,2,10,18
YDL138W,RGT2,,dma730,2,10,19
YDL024C,DIA3,,dma634,2,10,20
YDL137W,ARF2,,dma731,2,10,21
YDL023C,,,dma635,2,10,22
YDL136W,RPL35B,,dma732,2,10,23
YOR202W,HIS3,,dma1,2,10,24
YOR202W,HIS3,,dma1,2,11,1
YBR293W,VBA2,,dma445,2,11,2
YCR024C-A,PMP1,,dma542,2,11,3
YBR292C,,,dma446,2,11,4
YCR023C,,,dma543,2,11,5
YBR291C,CTP1,,dma447,2,11,6
YCR022C,,,dma544,2,11,7
YBR290W,BSD2,,dma448,2,11,8
YCR021C,HSP30,,dma545,2,11,9
YBR289W,SNF5,,dma449,2,11,10
YCR020C-A,MAK31,,dma546,2,11,11
YBR288C,APM3,,dma450,2,11,12
YCR020C,PET18,,dma547,2,11,13
YBR287W,,,dma451,2,11,14
YCR019W,MAK32,,dma548,2,11,15
YBR286W,APE3,,dma452,2,11,16
YCR017C,CWH43,,dma549,2,11,17
YBR285W,,,dma453,2,11,18
YCR016W,,,dma550,2,11,19
YBR284W,,,dma454,2,11,20
YCR015C,CTO1,,dma551,2,11,21
YBR283C,SSH1,,dma455,2,11,22
YCR014C,POL4,,dma552,2,11,23
YOR202W,HIS3,,dma1,2,11,24
YOR202W,HIS3,,dma1,2,12,1
YDL054C,MCH1,,dma637,2,12,2
