ORF,Name,Allele,Strain_ID,Plate,Row,Column
YDL195W,SEC31,sec31-1,tsa852,3,13,23
YIL046W,MET30,met30-6,tsa948,3,13,24
YOR202W,HIS3,his3,tsa1033,3,14,1
BLANK,BLANK,,,3,14,2
YKL024C,URA6,ura6-6,tsa1034,3,14,3
BLANK,BLANK,,,3,14,4
YDL097C,RPN6,rpn6-1,tsa1035,3,14,5
YDL103C,QRI1,qri1-5001,tsa1093,3,14,6
YDL147W,RPN5,rpn5-1,tsa1036,3,14,7
YHR058C,MED6,med6-5001,tsa1094,3,14,8
YPR108W,RPN7,rpn7-3,tsa1037,3,14,9
YHR088W,RPF1,rpf1-5001,tsa1095,3,14,10
YHR036W,BRL1,brl1-2221,tsa1038,3,14,11
YJR093C,FIP1,fip1-5001,tsa1096,3,14,12
YHR036W,BRL1,brl1-3231,tsa1039,3,14,13
YKL021C,MAK11,mak11-5001,tsa1097,3,14,14
YER090W,TRP2,trp2,tsa1040,3,14,15
YKR081C,RPF2,rpf2-5001,tsa1098,3,14,16
YHR036W,BRL1,brl1-c371r,tsa1041,3,14,17
YJL035C,TAD2,tad2-5001,tsa1099,3,14,18
YHR036W,BRL1,brl1-c371s,tsa1042,3,14,19
BLANK,BLANK,,,3,14,20
YHR036W,BRL1,brl1-k405i,tsa1043,3,14,21
YIL104C,SHQ1,shq1-5001,tsa1100,3,14,22
YLR007W,NSE1,nse1-16,tsa1044,3,14,23
YLL011W,SOF1,sof1-5001,tsa1101,3,14,24
YOR202W,HIS3,his3,tsa853,3,15,1
YOR202W,HIS3,his3,tsa949,3,15,2
YDR141C,DOP1,dop1-1,tsa854,3,15,3
YBL034C,STU1,stu1-7,tsa950,3,15,4
YLR116W,MSL5,msl5-9,tsa855,3,15,5
YDR460W,TFB3,tfb3-ts,tsa951,3,15,6
YJL085W,EXO70,exo70-29/37,tsa856,3,15,7
YLR321C,SFH1,sfh1-1,tsa952,3,15,8
YKR037C,SPC34,spc34-7,tsa857,3,15,9
YOR174W,MED4,med4-54,tsa953,3,15,10
YOL123W,HRP1,hrp1-4,tsa858,3,15,11
YGR119C,NUP57,nup57-e17,tsa954,3,15,12
YDL103C,QRI1,qri1-ts1,tsa859,3,15,13
YGL097W,SRM1,srm1-ts,tsa955,3,15,14
YDL103C,QRI1,qri1-ts6,tsa860,3,15,15
YIL022W,TIM44,tim44-8,tsa956,3,15,16
YPL190C,NAB3,nab3-11,tsa861,3,15,17
YDR167W,TAF10,taf10-ts34,tsa957,3,15,18
YDR113C,PDS1,pds1-128,tsa862,3,15,19
YER168C,CCA1,cca1-1,tsa958,3,15,20
YER090W,TRP2,trp2,tsa863,3,15,21
YLL031C,GPI13,gpi13-4,tsa959,3,15,22
YPL255W,BBP1,bbp1-2,tsa864,3,15,23
YOL123W,HRP1,hrp1-1,tsa960,3,15,24
YOR202W,HIS3,his3,tsa1045,3,16,1
YMR049C,ERB1,erb1-5001,tsa1102,3,16,2
YKL021C,MAK11,mak11-2,tsa1046,3,16,3
BLANK,BLANK,,,3,16,4
YLR117C,CLF1,clf1-1,tsa1047,3,16,5
YMR200W,ROT1,rot1-5001,tsa1103,3,16,6
YFL017C,GNA1,gna1-ts,tsa1048,3,16,7
BLANK,BLANK,,,3,16,8
YPR094W,RDS3,rds3-1,tsa1049,3,16,9
BLANK,BLANK,,,3,16,10
YOR212W,STE4,ste4,tsa1050,3,16,11
BLANK,BLANK,,,3,16,12
